Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,VJ282,VJ283,VJ175,VJ176,VJ292,VJ293,VJ294,VJ295,VJ296,VJ297,VJ177,VJ178,VJ179,VJ180,VJ181,VJ182,VJ183,VJ184,VJ185,VJ186,VJ187,VJ188,VJ189,VJ190,VJ191,VJ192,VJ193,VJ194,VJ195,VJ196,VJ197,VJ198,VJ199,VJ304,VJ305,VJ306,VJ307,VJ314,VJ308,VJ309,VJ310,VJ311,VJ298,VJ299,VJ300,VJ301,VJ302,VJ303,VJ315,VJ333,VJ334,VJ335,VJ316,VJ336,VJ317,VJ284,VJ325,VJ285,VJ326,VJ256,VJ257,VJ258,VJ259,VJ260,VJ261,VJ262,VJ319,VJ320,VJ321,VJ339,VJ340,VJ341,VJ342,VJ312,VJ313,VJ286,VJ287,VJ288,VJ200,VJ201,VJ202,VJ203,VJ204,VJ205,VJ206,VJ207,VJ208,VJ209,VJ210,VJ211,VJ212,VJ213,VJ214,VJ215,VJ216,VJ217,VJ218,VJ219,VJ220,VJ221,VJ222,VJ223,VJ224,VJ225,VJ226,VJ227,VJ228,VJ229,VJ230,VJ231,VJ232,VJ337,VJ318,VJ289,VJ290,VJ291,VJ327,VJ328,VJ263,VJ264,VJ265,VJ266,VJ267,VJ268,VJ269,VJ322,VJ323,VJ324,VJ343,VJ344,VJ345,VJ346,VJ270,VJ271,VJ272,VJ233,VJ234,VJ235,VJ236,VJ237,VJ238,VJ239,VJ240,VJ241,VJ242,VJ243,VJ244,VJ245,VJ246,VJ247,VJ248,VJ249,VJ250,VJ251,VJ252,VJ253,VJ254,VJ255,VJ338,VJ273,VJ329,VJ274,VJ275,VJ276,VJ277,VJ278,VJ279,VJ280,VJ281,VJ330,VJ331,VJ332
Line,->,->,->,->,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO,TWO
RouteID,->,->,->,->,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT7,RT7,RT7,RT6,RT7,RT6,RT6,RT7,RT6,RT7,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT7,RT7,RT7,RT8,RT8,RT8,RT8,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT7,RT6,RT6,RT6,RT6,RT7,RT7,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT7,RT7,RT7,RT8,RT8,RT8,RT8,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT7,RT6,RT7,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT6,RT7,RT7,RT7
Journey Code,->,->,->,->,110555,110615,110635,110655,110710,110725,110740,110755,110810,110825,110840,110855,110910,110925,110940,110955,111010,111025,111040,111055,111110,111125,111140,111140,111155,111210,111225,111240,111255,111255,111310,111325,111340,111353,111408,111408,111423,111438,111450,111450,111505,111520,111535,111550,111605,111620,111620,111635,111650,111702,111717,111717,111732,111745,111800,111815,111815,111835,111855,111915,111945,112015,112045,112115,112145,112215,112245,112315,112345,502415,502515,502615,502715,610700,610730,610800,610830,610900,610925,610940,610955,611010,611025,611040,611055,611110,611125,611140,611155,611210,611225,611240,611255,611310,611325,611340,611355,611410,611425,611440,611455,611510,611525,611540,611555,611610,611625,611640,611655,611710,611724,611736,611748,611800,611815,611830,611845,611900,611915,611945,612015,612045,612115,612145,612215,612245,612315,612345,612415,612515,612615,612715,710835,710905,710935,711005,711025,711045,711105,711125,711145,711205,711225,711245,711305,711325,711345,711405,711425,711445,711505,711525,711545,711605,711625,711645,711705,711725,711745,711805,711825,711845,711915,711945,712015,712045,712115,712145,712215,712245,712315,712345
Journey Pattern ,->,->,->,->,JP20,JP20,JP16,JP16,JP21,JP21,JP21,JP21,JP21,JP21,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP23,JP23,JP23,JP23,JP26,JP24,JP24,JP24,JP24,JP22,JP22,JP22,JP22,JP22,JP22,JP27,JP34,JP34,JP34,JP28,JP35,JP29,JP20,JP32,JP20,JP32,JP18,JP18,JP18,JP18,JP18,JP18,JP18,JP31,JP31,JP31,JP38,JP38,JP38,JP38,JP25,JP25,JP20,JP20,JP20,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP16,JP36,JP30,JP20,JP20,JP20,JP32,JP32,JP18,JP18,JP18,JP18,JP18,JP18,JP18,JP31,JP31,JP31,JP38,JP38,JP38,JP38,JP19,JP19,JP19,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP17,JP37,JP19,JP33,JP19,JP19,JP19,JP19,JP19,JP19,JP19,JP19,JP33,JP33,JP33
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Friday,"Monday,Tuesday,Wednesday,Thursday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Friday,"Monday,Tuesday,Wednesday,Thursday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Friday,"Monday,Tuesday,Wednesday,Thursday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Friday,"Monday,Tuesday,Wednesday,Thursday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Friday,Friday,Friday,Friday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday
1,3390VB05,-,-,Victoria Bus Station,05:55,06:15,06:35,06:55,07:10,07:25,07:40,07:55,08:10,08:25,08:40,08:55,09:10,09:25,09:40,09:55,10:10,10:25,10:40,10:55,11:10,11:25,11:40,11:40,11:55,12:10,12:25,12:40,12:55,12:55,13:10,13:25,13:40,13:53,14:08,14:08,14:23,14:38,14:50,14:50,15:05,15:20,15:35,15:50,16:05,16:20,16:20,16:35,16:50,17:02,17:17,17:17,17:32,17:45,18:00,18:15,18:15,18:35,18:55,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,23:15,23:45,-,-,-,-,07:00,07:30,08:00,08:30,09:00,09:25,09:40,09:55,10:10,10:25,10:40,10:55,11:10,11:25,11:40,11:55,12:10,12:25,12:40,12:55,13:10,13:25,13:40,13:55,14:10,14:25,14:40,14:55,15:10,15:25,15:40,15:55,16:10,16:25,16:40,16:55,17:10,17:24,17:36,17:48,18:00,18:15,18:30,18:45,19:00,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,23:15,23:45,-,-,-,-,08:35,09:05,09:35,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:25,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,23:15,23:45
2,3390T8,-,-,Burton Street,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00:15,01:15,02:15,03:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00:15,01:15,02:15,03:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,3390T8,-,-,Burton Street,05:56,06:16,06:36,06:56,07:11,07:26,07:41,07:56,08:11,08:26,08:41,08:56,09:11,09:26,09:41,09:56,10:11,10:26,10:41,10:56,11:11,11:26,11:41,11:41,11:56,12:11,12:26,12:41,12:56,12:56,13:11,13:26,13:41,13:54,14:09,14:09,14:24,14:39,14:51,14:51,15:06,15:21,15:36,15:51,16:06,16:21,16:21,16:36,16:51,17:03,17:18,17:18,17:33,17:46,18:01,18:16,18:16,18:36,18:56,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:46,-,-,-,-,07:01,07:31,08:01,08:31,09:01,09:26,09:41,09:56,10:11,10:26,10:41,10:56,11:11,11:26,11:41,11:56,12:11,12:26,12:41,12:56,13:11,13:26,13:41,13:56,14:11,14:26,14:41,14:56,15:11,15:26,15:41,15:56,16:11,16:26,16:41,16:56,17:11,17:25,17:37,17:49,18:01,18:16,18:31,18:46,19:01,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:46,-,-,-,-,08:36,09:06,09:36,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:46
4,3390U4,-,-,Upper Parliament Street,05:57,06:17,06:37,06:57,07:12,07:27,07:42,07:57,08:12,08:27,08:42,08:57,09:12,09:27,09:42,09:57,10:12,10:27,10:42,10:57,11:12,11:27,11:42,11:42,11:57,12:12,12:27,12:42,12:57,12:57,13:12,13:27,13:42,13:55,14:10,14:10,14:25,14:40,14:52,14:52,15:07,15:22,15:37,15:52,16:07,16:22,16:22,16:37,16:52,17:04,17:19,17:19,17:34,17:47,18:02,18:17,18:17,18:37,18:57,19:17,19:47,20:17,20:47,21:17,21:47,22:17,22:47,23:17,23:47,00:16,01:16,02:16,03:16,07:02,07:32,08:02,08:32,09:02,09:27,09:42,09:57,10:12,10:27,10:42,10:57,11:12,11:27,11:42,11:57,12:12,12:27,12:42,12:57,13:12,13:27,13:42,13:57,14:12,14:27,14:42,14:57,15:12,15:27,15:42,15:57,16:12,16:27,16:42,16:57,17:12,17:26,17:38,17:50,18:02,18:17,18:32,18:47,19:02,19:17,19:47,20:17,20:47,21:17,21:47,22:17,22:47,23:17,23:47,00:16,01:16,02:16,03:16,08:37,09:07,09:37,10:07,10:27,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:07,15:27,15:47,16:07,16:27,16:47,17:07,17:27,17:47,18:07,18:27,18:47,19:17,19:47,20:17,20:47,21:17,21:47,22:17,22:47,23:17,23:47
5,3390Y3,-,-,Cathedral,05:57,06:17,06:37,06:57,07:12,07:27,07:42,07:57,08:12,08:27,08:42,08:57,09:12,09:27,09:42,09:57,10:12,10:27,10:42,10:57,11:12,11:27,11:42,11:42,11:57,12:12,12:27,12:42,12:57,12:57,13:12,13:27,13:42,13:55,14:10,14:10,14:25,14:40,14:52,14:52,15:07,15:22,15:37,15:52,16:07,16:22,16:22,16:37,16:52,17:04,17:19,17:19,17:34,17:47,18:02,18:17,18:17,18:37,18:57,19:17,19:47,20:17,20:47,21:17,21:47,22:17,22:47,23:17,23:47,00:16,01:16,02:16,03:16,07:02,07:32,08:02,08:32,09:02,09:27,09:42,09:57,10:12,10:27,10:42,10:57,11:12,11:27,11:42,11:57,12:12,12:27,12:42,12:57,13:12,13:27,13:42,13:57,14:12,14:27,14:42,14:57,15:12,15:27,15:42,15:57,16:12,16:27,16:42,16:57,17:12,17:26,17:38,17:50,18:02,18:17,18:32,18:47,19:02,19:17,19:47,20:17,20:47,21:17,21:47,22:17,22:47,23:17,23:47,00:16,01:16,02:16,03:16,08:37,09:07,09:37,10:07,10:27,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:07,15:27,15:47,16:07,16:27,16:47,17:07,17:27,17:47,18:07,18:27,18:47,19:17,19:47,20:17,20:47,21:17,21:47,22:17,22:47,23:17,23:47
6,3390CC06,-,-,Canning Circus,05:58,06:18,06:38,06:58,07:13,07:28,07:43,07:58,08:13,08:28,08:43,08:58,09:13,09:28,09:43,09:58,10:13,10:28,10:43,10:58,11:13,11:28,11:43,11:43,11:58,12:13,12:28,12:43,12:58,12:58,13:13,13:28,13:43,13:56,14:11,14:11,14:26,14:41,14:53,14:53,15:08,15:23,15:38,15:53,16:08,16:23,16:23,16:38,16:53,17:05,17:20,17:20,17:35,17:48,18:03,18:18,18:18,18:38,18:58,19:18,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18,23:48,00:18,01:18,02:18,03:18,07:03,07:33,08:03,08:33,09:03,09:28,09:43,09:58,10:13,10:28,10:43,10:58,11:13,11:28,11:43,11:58,12:13,12:28,12:43,12:58,13:13,13:28,13:43,13:58,14:13,14:28,14:43,14:58,15:13,15:28,15:43,15:58,16:13,16:28,16:43,16:58,17:13,17:27,17:39,17:51,18:03,18:18,18:33,18:48,19:03,19:18,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18,23:48,00:18,01:18,02:18,03:18,08:38,09:08,09:38,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:08,15:28,15:48,16:08,16:28,16:48,17:08,17:28,17:48,18:08,18:28,18:48,19:18,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18,23:48
7,3390RA01,-,-,Highurst Street,05:59,06:19,06:39,06:59,07:14,07:29,07:44,07:59,08:14,08:29,08:44,08:59,09:14,09:29,09:44,09:59,10:14,10:29,10:44,10:59,11:14,11:29,11:44,11:44,11:59,12:14,12:29,12:44,12:59,12:59,13:14,13:29,13:44,13:57,14:12,14:12,14:27,14:42,14:54,14:54,15:09,15:24,15:39,15:54,16:09,16:24,16:24,16:39,16:54,17:06,17:21,17:21,17:36,17:49,18:04,18:19,18:19,18:39,18:59,19:19,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19,23:49,00:18,01:18,02:18,03:18,07:04,07:34,08:04,08:34,09:04,09:29,09:44,09:59,10:14,10:29,10:44,10:59,11:14,11:29,11:44,11:59,12:14,12:29,12:44,12:59,13:14,13:29,13:44,13:59,14:14,14:29,14:44,14:59,15:14,15:29,15:44,15:59,16:14,16:29,16:44,16:59,17:14,17:28,17:40,17:52,18:04,18:19,18:34,18:49,19:04,19:19,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19,23:49,00:18,01:18,02:18,03:18,08:39,09:09,09:39,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:09,13:29,13:49,14:09,14:29,14:49,15:09,15:29,15:49,16:09,16:29,16:49,17:09,17:29,17:49,18:09,18:29,18:49,19:19,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19,23:49
8,3390RA02,-,-,Albert Grove,05:59,06:19,06:39,06:59,07:14,07:29,07:44,07:59,08:14,08:29,08:44,08:59,09:14,09:29,09:44,09:59,10:14,10:29,10:44,10:59,11:14,11:29,11:44,11:44,11:59,12:14,12:29,12:44,12:59,12:59,13:14,13:29,13:44,13:57,14:12,14:12,14:27,14:42,14:54,14:54,15:09,15:24,15:39,15:54,16:09,16:24,16:24,16:39,16:54,17:06,17:21,17:21,17:36,17:49,18:04,18:19,18:19,18:39,18:59,19:19,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19,23:49,00:19,01:19,02:19,03:19,07:04,07:34,08:04,08:34,09:04,09:29,09:44,09:59,10:14,10:29,10:44,10:59,11:14,11:29,11:44,11:59,12:14,12:29,12:44,12:59,13:14,13:29,13:44,13:59,14:14,14:29,14:44,14:59,15:14,15:29,15:44,15:59,16:14,16:29,16:44,16:59,17:14,17:28,17:40,17:52,18:04,18:19,18:34,18:49,19:04,19:19,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19,23:49,00:19,01:19,02:19,03:19,08:39,09:09,09:39,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:09,13:29,13:49,14:09,14:29,14:49,15:09,15:29,15:49,16:09,16:29,16:49,17:09,17:29,17:49,18:09,18:29,18:49,19:19,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19,23:49
9,3390RA03,-,-,Rothesay Avenue,06:00,06:20,06:40,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,11:45,12:00,12:15,12:30,12:45,13:00,13:00,13:15,13:30,13:45,13:58,14:13,14:13,14:28,14:43,14:55,14:55,15:10,15:25,15:40,15:55,16:10,16:25,16:25,16:40,16:55,17:07,17:22,17:22,17:37,17:50,18:05,18:20,18:20,18:40,19:00,19:20,19:50,20:20,20:50,21:20,21:50,22:20,22:50,23:20,23:50,00:19,01:19,02:19,03:19,07:05,07:35,08:05,08:35,09:05,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:29,17:41,17:53,18:05,18:20,18:35,18:50,19:05,19:20,19:50,20:20,20:50,21:20,21:50,22:20,22:50,23:20,23:50,00:19,01:19,02:19,03:19,08:40,09:10,09:40,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:20,19:50,20:20,20:50,21:20,21:50,22:20,22:50,23:20,23:50
