Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Line,->,->,->,->,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
RouteID,->,->,->,->,5,5,5,5,6,6,7,7,7,7,7,7,8,8,9,9,8,8,9,9,6,6
Journey Code,->,->,->,->,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journey Pattern ,->,->,->,->,5,5,5,5,6,6,7,7,7,7,7,7,8,8,9,9,8,8,9,9,6,6
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday
0,3300GE0251,-,-,Coronation Road,06:57,06:57,07:57,07:57,08:57,08:57,10:57,10:57,12:57,12:57,14:57,14:57,15:57,15:57,-,-,16:57,16:57,-,-,18:02,18:02
1,3300GE0108,-,-,Park Road,06:58,06:58,07:58,07:58,08:58,08:58,10:58,10:58,12:58,12:58,14:58,14:58,15:58,15:58,-,-,16:58,16:58,-,-,18:03,18:03
2,3300GE0298,-,-,Church Road,06:58,06:58,07:58,07:58,08:58,08:58,10:58,10:58,12:58,12:58,14:58,14:58,15:58,15:58,-,-,16:58,16:58,-,-,18:03,18:03
3,3300GE0737,-,-,The Square,06:59,06:59,07:59,07:59,08:59,08:59,10:59,10:59,12:59,12:59,14:59,14:59,15:59,15:59,-,-,16:59,16:59,-,-,18:04,18:04
4,3300GE0109,-,-,Country Park,07:00,07:00,08:00,08:00,09:00,09:00,11:00,11:00,13:00,13:00,15:00,15:00,16:00,16:00,-,-,17:00,17:00,-,-,18:05,18:05
5,3300GE0294,-,-,The Square,07:00,07:00,08:00,08:00,09:00,09:00,11:00,11:00,13:00,13:00,15:00,15:00,16:00,16:00,-,-,17:00,17:00,-,-,18:05,18:05
6,3300GE0306,-,-,Church Road,07:01,07:01,08:01,08:01,09:00,09:00,11:00,11:00,13:00,13:00,15:00,15:00,16:00,16:00,-,-,17:00,17:00,-,-,18:05,18:05
7,3300GE0311,-,-,Old Mill Close,07:02,07:02,08:02,08:02,09:01,09:01,11:01,11:01,13:01,13:01,15:01,15:01,16:01,16:01,-,-,17:01,17:01,-,-,18:06,18:06
8,3390BV24,-,-,Moorbridge Cottage,07:04,07:04,08:04,08:04,09:03,09:03,11:03,11:03,13:03,13:03,15:03,15:03,16:03,16:03,-,-,17:03,17:03,-,-,18:08,18:08
9,3390BV25,-,-,Moorbridge Ponds,07:04,07:04,08:04,08:04,09:03,09:03,11:03,11:03,13:03,13:03,15:03,15:03,16:03,16:03,-,-,17:03,17:03,-,-,18:08,18:08
10,3390BU29,-,-,Lawton Drive,07:05,07:05,08:05,08:05,09:04,09:04,11:04,11:04,13:04,13:04,15:04,15:04,16:04,16:04,-,-,17:04,17:04,-,-,18:09,18:09
11,3390BU30,-,-,The Apollo,07:06,07:06,08:06,08:06,09:04,09:04,11:04,11:04,13:04,13:04,15:04,15:04,16:04,16:04,-,-,17:04,17:04,-,-,18:09,18:09
12,3390BU83,-,-,Morrisons Car Park,-,-,-,-,09:05,09:05,11:05,11:05,13:05,13:05,15:05,15:05,16:05,16:05,-,-,17:05,17:05,-,-,18:10,18:10
13,3390BU31,-,-,Morrisons,07:06,07:06,08:06,08:06,09:05,09:05,11:05,11:05,13:05,13:05,15:05,15:05,16:05,16:05,-,-,17:05,17:05,-,-,18:10,18:10
14,3390BU33,-,-,Squires Avenue,07:07,07:07,08:07,08:07,09:06,09:06,11:06,11:06,13:06,13:06,15:06,15:06,16:06,16:06,-,-,17:06,17:06,-,-,18:11,18:11
15,3390BU34,-,-,Merchant Street,07:08,07:08,08:08,08:08,09:08,09:08,11:08,11:08,13:08,13:08,15:08,15:08,16:08,16:08,-,-,17:08,17:08,-,-,18:13,18:13
16,3390BU35,-,-,Duke Street,07:08,07:08,08:08,08:08,09:08,09:08,11:08,11:08,13:08,13:08,15:08,15:08,16:08,16:08,-,-,17:08,17:08,-,-,18:13,18:13
17,3390BU07,-,-,Bulwell Bus Station,07:10,07:10,08:10,08:10,09:10,09:10,11:10,11:10,13:10,13:10,15:10,15:10,16:10,16:10,-,-,17:10,17:10,-,-,18:15,18:15
18,3390BU45,-,-,Sellers Wood Drive,07:10,07:10,08:10,08:10,09:10,09:10,11:10,11:10,13:10,13:10,15:10,15:10,16:10,16:10,-,-,17:10,17:10,-,-,18:15,18:15
19,3390BU46,-,-,Coventry Court,07:11,07:11,08:11,08:11,09:11,09:11,11:11,11:11,13:11,13:11,15:11,15:11,16:11,16:11,-,-,17:11,17:11,-,-,18:16,18:16
20,3390BU47,-,-,Glenn's,07:12,07:12,08:12,08:12,09:12,09:12,11:12,11:12,13:12,13:12,15:12,15:12,16:12,16:12,-,-,17:12,17:12,-,-,18:17,18:17
21,3390BU48,-,-,Leonard Street,07:13,07:13,08:13,08:13,09:13,09:13,11:13,11:13,13:13,13:13,15:13,15:13,16:13,16:13,-,-,17:13,17:13,-,-,18:18,18:18
22,3390BU49,-,-,Headstocks,07:14,07:14,08:14,08:14,09:14,09:14,11:14,11:14,13:14,13:14,15:14,15:14,16:14,16:14,-,-,17:14,17:14,-,-,18:19,18:19
23,3390CI30,-,-,Phoenix Park Interchange,07:18,07:18,08:18,08:18,09:18,09:18,11:18,11:18,13:18,13:18,15:18,15:18,16:18,16:18,16:34,16:34,17:18,17:18,17:54,17:54,18:23,18:23
24,3300BR0471,-,-,The Nuthall,07:18,07:18,08:18,08:18,09:18,09:18,11:18,11:18,13:18,13:18,15:18,15:18,-,-,16:34,16:34,-,-,17:54,17:54,18:23,18:23
25,3300BR0290,-,-,Woodland Drive,07:19,07:19,08:19,08:19,09:19,09:19,11:19,11:19,13:19,13:19,15:19,15:19,-,-,16:35,16:35,-,-,17:55,17:55,18:24,18:24
26,3300BR0292,-,-,Highfield Drive,07:19,07:19,08:19,08:19,09:19,09:19,11:19,11:19,13:19,13:19,15:19,15:19,-,-,16:35,16:35,-,-,17:55,17:55,18:24,18:24
27,3300BR0293,-,-,Temple Drive,07:19,07:19,08:19,08:19,09:19,09:19,11:19,11:19,13:19,13:19,15:19,15:19,-,-,16:35,16:35,-,-,17:55,17:55,18:24,18:24
28,3300BR0296,-,-,Nottingham Road,07:20,07:20,08:20,08:20,09:20,09:20,11:20,11:20,13:20,13:20,15:20,15:20,-,-,16:36,16:36,-,-,17:56,17:56,18:25,18:25
29,3300BR0297,-,-,Spring Terrace,07:20,07:20,08:20,08:20,09:20,09:20,11:20,11:20,13:20,13:20,15:20,15:20,-,-,16:36,16:36,-,-,17:56,17:56,18:25,18:25
30,3300BR0236,-,-,Church,07:21,07:21,08:21,08:21,09:21,09:21,-,-,-,-,-,-,-,-,16:37,16:37,-,-,17:57,17:57,18:26,18:26
31,3300BR0234,-,-,Edward Road,07:21,07:21,08:21,08:21,09:21,09:21,-,-,-,-,-,-,-,-,16:37,16:37,-,-,17:57,17:57,18:26,18:26
32,3300BR0233,-,-,Atkinson Gardens,07:22,07:22,08:22,08:22,09:22,09:22,-,-,-,-,-,-,-,-,16:38,16:38,-,-,17:58,17:58,18:27,18:27
33,3300BR0242,-,-,Oak Drive,07:22,07:22,08:22,08:22,09:22,09:22,-,-,-,-,-,-,-,-,16:38,16:38,-,-,17:58,17:58,18:27,18:27
34,3300BR0240,-,-,Ash Crescent,07:23,07:23,08:23,08:23,09:23,09:23,-,-,-,-,-,-,-,-,16:39,16:39,-,-,17:59,17:59,18:28,18:28
35,3300BR0238,-,-,St Patricks Road,07:23,07:23,08:23,08:23,09:23,09:23,-,-,-,-,-,-,-,-,16:39,16:39,-,-,17:59,17:59,18:28,18:28
36,3300BR0340,-,-,Buckingham Way,07:23,07:23,08:23,08:23,09:23,09:23,-,-,-,-,-,-,-,-,16:39,16:39,-,-,17:59,17:59,18:28,18:28
37,3300BR0321,-,-,Holly Road,07:24,07:24,08:24,08:24,09:24,09:24,-,-,-,-,-,-,-,-,16:40,16:40,-,-,18:00,18:00,18:29,18:29
38,3300BR0107,-,-,Church,-,-,-,-,-,-,11:21,11:21,13:21,13:21,15:21,15:21,-,-,-,-,-,-,-,-,-,-
39,3300BR0109,-,-,Ayscough Avenue,-,-,-,-,-,-,11:21,11:21,13:21,13:21,15:21,15:21,-,-,-,-,-,-,-,-,-,-
40,3300BR0339,-,-,Albert Avenue,-,-,-,-,-,-,11:22,11:22,13:22,13:22,15:22,15:22,-,-,-,-,-,-,-,-,-,-
41,3300BR0239,-,-,St Patricks Road,-,-,-,-,-,-,11:23,11:23,13:23,13:23,15:22,15:22,-,-,-,-,-,-,-,-,-,-
42,3300BR0256,-,-,Ash Crescent,-,-,-,-,-,-,11:24,11:24,13:24,13:24,15:23,15:23,-,-,-,-,-,-,-,-,-,-
43,3300BR0228,-,-,Oak Drive,-,-,-,-,-,-,11:24,11:24,13:24,13:24,15:23,15:23,-,-,-,-,-,-,-,-,-,-
44,3300BR0231,-,-,Larkfield Road,-,-,-,-,-,-,11:24,11:24,13:24,13:24,15:24,15:24,-,-,-,-,-,-,-,-,-,-
45,3300BR0230,-,-,Nottingham Road,-,-,-,-,-,-,11:26,11:26,13:26,13:26,15:25,15:25,-,-,-,-,-,-,-,-,-,-
46,3300BR0411,-,-,Library,-,-,-,-,-,-,11:27,11:27,13:27,13:27,15:27,15:27,-,-,-,-,-,-,-,-,-,-
47,3300BR0219,-,-,Nine Corners,-,-,-,-,-,-,11:28,11:28,13:28,13:28,15:28,15:28,-,-,-,-,-,-,-,-,-,-
48,3300BR0384,-,-,Parkham Road,-,-,-,-,-,-,11:29,11:29,13:29,13:29,15:29,15:29,-,-,-,-,-,-,-,-,-,-
49,3300BR0383,-,-,Hollywell Primary School,-,-,-,-,-,-,11:30,11:30,13:30,13:30,15:30,15:30,-,-,-,-,-,-,-,-,-,-
50,3300BR0183,-,-,Main Road,07:25,07:25,08:25,08:25,09:25,09:25,11:33,11:33,13:33,13:33,15:33,15:33,-,-,16:41,16:41,-,-,18:01,18:01,18:30,18:30
51,3300BR0182,-,-,Victoria Gardens,07:25,07:25,08:25,08:25,09:25,09:25,11:33,11:33,13:33,13:33,15:33,15:33,-,-,16:41,16:41,-,-,18:01,18:01,18:30,18:30
52,3300BR0194,-,-,Narrow Lane,07:25,07:25,08:25,08:25,09:25,09:25,11:33,11:33,13:33,13:33,15:33,15:33,-,-,16:41,16:41,-,-,18:01,18:01,18:30,18:30
53,3300BR0507,-,-,Church Road,07:26,07:26,08:26,08:26,09:26,09:26,11:34,11:34,13:34,13:34,15:34,15:34,-,-,16:42,16:42,-,-,18:02,18:02,18:31,18:31
54,3300BR0185,-,-,Church,07:27,07:27,08:27,08:27,09:27,09:27,11:35,11:35,13:35,13:35,15:35,15:35,-,-,16:43,16:43,-,-,18:03,18:03,18:32,18:32
55,3300BR0165,-,-,Church Road,07:28,07:28,08:28,08:28,09:28,09:28,11:36,11:36,13:36,13:36,15:36,15:36,-,-,16:44,16:44,-,-,18:04,18:04,18:33,18:33
56,3300BR0167,-,-,Nursery,07:28,07:28,08:28,08:28,09:28,09:28,11:36,11:36,13:36,13:36,15:36,15:36,-,-,16:44,16:44,-,-,18:04,18:04,18:33,18:33
57,3300BR0169,-,-,Engine Lane,07:29,07:29,08:29,08:29,09:29,09:29,11:37,11:37,13:37,13:37,15:37,15:37,-,-,16:45,16:45,-,-,18:05,18:05,18:34,18:34
58,3300BR0171,-,-,Willey Lane,07:29,07:29,08:29,08:29,09:29,09:29,11:37,11:37,13:37,13:37,15:37,15:37,-,-,16:45,16:45,-,-,18:05,18:05,18:34,18:34
59,3300AS0614,-,-,Lambs Close Drive,07:30,07:30,08:30,08:30,09:30,09:30,11:38,11:38,13:38,13:38,15:38,15:38,-,-,16:46,16:46,-,-,18:06,18:06,18:35,18:35
60,3300AS0491,-,-,Willey Lane,07:31,07:31,08:31,08:31,09:31,09:31,11:39,11:39,13:39,13:39,15:39,15:39,-,-,16:47,16:47,-,-,18:07,18:07,18:36,18:36
61,3300AS0053,-,-,Felley Mill Lane,07:32,07:32,08:32,08:32,09:32,09:32,11:40,11:40,13:40,13:40,15:40,15:40,-,-,16:48,16:48,-,-,18:08,18:08,18:37,18:37
62,3300AS0166,-,-,Institute,07:33,07:33,08:33,08:33,09:33,09:33,11:41,11:41,13:41,13:41,15:41,15:41,-,-,16:49,16:49,-,-,18:09,18:09,18:38,18:38
63,3300AS0122,-,-,Beech Road,07:33,07:33,08:33,08:33,09:33,09:33,11:41,11:41,13:41,13:41,15:41,15:41,-,-,16:49,16:49,-,-,18:09,18:09,18:38,18:38
64,3300AS0137,-,-,School Road,07:34,07:34,08:34,08:34,09:34,09:34,11:42,11:42,13:42,13:42,15:42,15:42,-,-,16:50,16:50,-,-,18:10,18:10,18:39,18:39
65,3300AS0104,-,-,Middlebrook Road,07:35,07:35,08:35,08:35,09:35,09:35,11:43,11:43,13:43,13:43,15:43,15:43,-,-,16:51,16:51,-,-,18:11,18:11,18:40,18:40
66,3300AS0102,-,-,Nottingham Road,07:36,07:36,08:36,08:36,09:36,09:36,11:44,11:44,13:44,13:44,15:44,15:44,-,-,16:52,16:52,-,-,18:12,18:12,18:41,18:41
67,3300AS0101,-,-,Annesley Lane,07:36,07:36,08:36,08:36,09:36,09:36,11:44,11:44,13:44,13:44,15:44,15:44,-,-,16:52,16:52,-,-,18:12,18:12,18:41,18:41
68,3300AS0162,-,-,Recreation Street,07:37,07:37,08:37,08:37,09:37,09:37,11:45,11:45,13:45,13:45,15:45,15:45,-,-,16:53,16:53,-,-,18:13,18:13,18:42,18:42
69,3300AS0297,-,-,Sherwood Way,07:37,07:37,08:37,08:37,09:37,09:37,11:45,11:45,13:45,13:45,15:45,15:45,-,-,16:53,16:53,-,-,18:13,18:13,18:42,18:42
70,3300AS0159,-,-,Victoria Road,07:37,07:37,08:37,08:37,09:37,09:37,11:45,11:45,13:45,13:45,15:45,15:45,-,-,16:53,16:53,-,-,18:13,18:13,18:42,18:42
71,3300AS0157,-,-,School Road,07:38,07:38,08:38,08:38,09:38,09:38,11:46,11:46,13:46,13:46,15:46,15:46,-,-,16:54,16:54,-,-,18:14,18:14,18:43,18:43
72,3300AS0156,-,-,Portland Road,07:39,07:39,08:39,08:39,09:39,09:39,11:47,11:47,13:47,13:47,15:47,15:47,-,-,16:55,16:55,-,-,18:15,18:15,18:44,18:44
73,3300AS0043,-,-,Mansfield Road,07:39,07:39,08:39,08:39,09:39,09:39,11:47,11:47,13:47,13:47,15:47,15:47,-,-,16:55,16:55,-,-,18:15,18:15,18:44,18:44
74,3300AS0304,-,-,Commonside,07:41,07:41,08:41,08:41,09:41,09:41,11:49,11:49,13:49,13:49,15:49,15:49,-,-,16:57,16:57,-,-,18:17,18:17,18:46,18:46
75,3300AS0826,-,-,Selston Church,07:45,07:45,08:45,08:45,09:45,09:45,11:53,11:53,13:53,13:53,15:53,15:53,-,-,17:01,17:01,-,-,18:21,18:21,18:50,18:50
